Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Daniel Gafford,DAL,25,37,16,21,24.3,11.2,4.8,6.3,76.3,0,0,0,1.6,2.5,65.6,2.5,4.8,7.2,1.6,1,0.9,2.1,2.9,30.3,7,0,0.5
Wendell Carter Jr.,ORL,25,29,13,16,25.5,11.2,4,7.6,52.7,1.5,3.3,45.4,1.7,2.4,69,2.1,4.5,6.6,1.8,1.2,0.4,0.4,2.4,23.2,5,0,-3.5
Russell Westbrook,LAC,35,34,21,13,24,11.2,4.5,10.4,43.1,0.6,2.3,24.7,1.6,2.3,70.9,1.6,3.6,5.1,4.9,2.4,1.2,0.3,1.9,26.9,5,1,-0.7
Simone Fontecchio,DET,28,35,10,25,24.4,11.1,4.1,8.4,48.1,2.3,5.3,43.9,0.7,0.8,85.2,0.9,2.7,3.6,1.4,1,0.6,0.3,1.5,19.3,0,0,-4.3
Scotty Pippen Jr.,MEM,23,10,4,6,22.1,11.1,3.8,7.8,48.7,1.2,2.5,48,2.3,2.9,79.3,0.7,2.3,3,3.5,2.6,1.1,0.2,2.2,21.3,0,0,-1.9
Jakob Poeltl,TOR,28,24,9,15,26.5,11.1,5,7.6,66.1,0,0,0,1,1.7,60,2.8,6.1,8.8,2.5,1.6,0.6,1.3,3.2,29.4,9,0,-0.9
Obi Toppin,IND,26,41,21,20,21.1,11,4.4,7.1,61.3,1.3,3,44.4,0.9,1.3,71.7,1.1,2.7,3.9,1.5,0.9,0.6,0.5,1.9,20.3,0,0,0.2
Buddy Hield,PHI,31,42,21,21,26,11,4,9.6,42.2,2.4,6.4,36.8,0.5,0.5,91.3,0.8,2.5,3.4,2.8,1.1,0.9,0.5,2,22.3,0,0,-1.1
Jeremy Sochan,SAS,20,37,8,29,29.3,10.9,4.4,10.2,43.2,0.9,2.8,32,1.2,1.6,76.7,1.5,4.1,5.6,3.2,1.7,0.8,0.5,2.2,24.8,1,0,-6.5
Tre Mann,CHA,23,17,7,10,28.3,10.9,4.1,9.3,43.7,1.5,3.5,42.4,1.4,1.9,69.7,0.6,3.4,4,4.4,1.6,1.6,0,1.5,25.7,0,0,-2.3
