Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Ousmane Dieng,OKC,20,21,16,5,12.3,4.7,1.8,3.9,46.9,0.6,2,28.6,0.5,0.6,83.3,0.3,1.5,1.8,1.3,0.6,0.3,0.1,0.7,9.4,0,0,0.4
Omer Yurtseven,UTA,25,24,13,11,10.6,4.6,2,3.3,62.8,0.1,0.5,25,0.4,0.5,83.3,1.4,2.5,3.9,0.6,0.6,0.2,0.5,1,11.7,1,0,0.5
Max Christie,LAL,21,34,23,11,14.1,4.6,1.6,3.5,45,0.8,1.8,41.9,0.7,0.9,74.2,0.2,2,2.3,0.8,0.5,0.3,0.2,0.8,9.5,0,0,1.1
Joe Harris,DET,32,5,1,4,11,4.6,1.6,3.2,50,1.4,3,46.7,0,0,0,0.2,1,1.2,0.6,0.2,0,0,1,6.7,0,0,-1.8
Jacob Gilyard,BKN,25,17,3,14,18.5,4.6,1.6,4.3,37,1.3,3.5,36.7,0.1,0.1,100,0.3,0.8,1.1,4.3,0.6,0.9,0.1,1,14.7,0,0,-2.4
Onuralp Bitim,CHI,25,12,5,7,13,4.6,1.9,4.4,43.4,0.6,1.9,30.4,0.2,0.2,100,0.3,1.8,2.2,0.8,0.4,0.1,0.1,1.3,8.4,0,0,-0.2
Julian Strawther,DEN,22,23,18,5,10.5,4.6,1.7,4.5,38.8,0.8,2.6,30,0.3,0.5,58.3,0,1.2,1.2,0.9,0.5,0.2,0,1,7.6,0,0,-1
Jevon Carter,CHI,28,37,18,19,13.3,4.5,1.7,4.6,37.2,1,3,32.1,0.1,0.2,66.7,0.1,0.6,0.8,1.2,0.4,0.5,0.2,1,8.9,0,0,0.5
Skylar Mays,LAL,26,19,8,11,12.1,4.5,1.7,4.7,36.7,0.6,1.9,32.4,0.4,0.5,88.9,0.4,0.6,1,1.9,0.4,0.9,0.1,0.6,11,0,0,-3.3
Troy Brown Jr.,DET,24,25,16,9,13.5,4.5,1.5,3.8,38.5,0.8,2.4,32.8,0.8,0.9,82.6,0.4,2,2.4,1.1,0.6,0.3,0.1,0.7,9.5,0,0,0.3
Ben Sheppard,IND,22,29,19,10,14.3,4.5,1.7,4.1,40.3,0.9,2.7,31.6,0.3,0.3,100,0.1,1.1,1.2,0.9,0.2,0.4,0.1,1.4,8.6,0,0,3.2
Luka Samanic,UTA,24,20,11,9,10,4.5,1.5,4,38,0.4,1.6,25.8,1.1,1.5,73.3,0.6,1.9,2.5,0.6,0.5,0.1,0.2,0.8,8.7,1,0,-1.2
Caleb Houstan,ORL,21,32,22,10,14.4,4.5,1.4,3.4,42.2,1.3,3.2,42.2,0.3,0.3,88.9,0.6,1.1,1.7,0.6,0.3,0.2,0.1,1,8,0,0,2.1
Delon Wright,MIA,31,24,6,18,16,4.4,1.6,4.3,37.5,0.5,1.8,28.6,0.6,0.8,83.3,0.4,1.4,1.8,2.5,0.3,1,0.3,0.7,14,0,0,1.8
Josh Okogie,PHX,25,30,19,11,16,4.4,1.2,3.2,36.1,0.4,1.7,24,1.6,2.1,77.8,1,1.2,2.1,1.1,0.6,0.8,0.5,1.3,11.9,0,0,1.3
Jared Rhoden,DET,24,7,0,7,10.8,4.3,1.6,3,52.4,0.7,1.7,41.7,0.4,0.6,75,0.3,1.9,2.1,0.3,0.7,0.1,0.7,1.4,9.1,0,0,-4.1
Gary Payton II,GSW,31,20,9,11,13.9,4.3,1.9,3.6,52.1,0.3,1.1,23.8,0.3,0.6,50,0.8,1.6,2.4,0.9,0.6,0.6,0.2,1.7,10.3,0,0,2.1
Jaylin Williams,OKC,21,36,30,6,13.1,4.3,1.5,3.4,45.1,0.8,2,38.4,0.4,0.6,75,0.4,3,3.4,1.5,0.4,0.4,0.5,1.4,12.9,0,0,3.6
Kevon Looney,GSW,28,37,21,16,15.8,4.2,1.7,3,56.3,0,0,0,0.8,1.1,77.5,2.2,3.5,5.7,1.7,0.6,0.3,0.2,2,14.6,1,0,-1.4
James Bouknight,CHA,23,6,0,6,7,4.2,1.5,3.5,42.9,1.2,2.8,41.2,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,5.5,0,0,-3
Bryce McGowens,CHA,21,28,4,24,13.5,4.1,1.3,3.5,37.1,0.5,1.6,30.4,1,1.3,77.8,0.3,1.3,1.6,0.6,0.4,0.2,0.1,1,7.3,0,0,-2.8
Blake Wesley,SAS,21,29,11,18,14.7,4.1,1.6,3.3,46.4,0.2,0.8,27.3,0.8,1.1,68.8,0.3,1.5,1.9,2.7,0.7,0.5,0.2,1.6,11.7,0,0,-3.3
Tristan Thompson,CLE,33,23,16,7,12.2,4,1.8,2.9,62.1,0,0,0,0.5,1.6,30.6,1.7,2.3,4,1.4,0.6,0.2,0.3,1.6,11.9,0,0,-0.2
Danuel House Jr.,PHI,30,18,11,7,14.4,4,1.3,2.8,47.1,0.5,1.4,36,0.8,1.2,71.4,0.4,1.3,1.8,0.7,0.6,0.1,0,1.2,6.9,0,0,1.2
Darius Bazley,UTA,23,4,1,3,13.5,4,1.5,2.8,54.5,0,0.8,0,1,1,100,0.8,2.3,3,0.8,0.5,0.3,0.5,0,10.5,0,0,-1.5
Drew Peterson,BOS,24,2,2,0,10.1,4,1.5,2.5,60,1,2,50,0,0,0,0,0.5,0.5,0,0.5,1,0,0,7.1,0,0,3
Gabe Vincent,LAL,27,4,3,1,22.4,4,1.8,5.5,31.8,0.3,2.8,9.1,0.3,0.5,50,0.3,0.8,1,2.8,0.3,1.5,0,1.3,13.6,0,0,6
Matt Hurt,MEM,23,5,0,5,11.1,4,1.4,2.8,50,0.8,1.4,57.1,0.4,0.4,100,0.4,0.8,1.2,0.4,0.2,0.4,0.4,1,8.2,0,0,1
Ricky Council IV,PHI,22,16,7,9,7.6,3.9,1.2,3.1,38.8,0.3,1.2,26.3,1.3,1.8,69,0.1,1.1,1.3,0.4,0.3,0.1,0,0.6,5.9,0,0,-2.8
Dwight Powell,DAL,32,31,20,11,13.5,3.9,1.2,1.5,77.1,0,0,100,1.5,2,75.4,1.6,1.8,3.4,1.5,0.5,0.5,0.3,1.6,11.9,0,0,2
Malachi Flynn,DET,25,36,17,19,11.4,3.9,1.3,3.6,36.2,0.6,2.1,29.7,0.7,0.9,70.6,0.3,1.1,1.3,1.7,0.8,0.4,0.1,0.8,8.7,0,0,-1.4
Theo Maledon,PHX,22,9,3,6,11.9,3.9,1.1,3.6,31.3,0.1,1.2,9.1,1.6,1.7,93.3,0,1.2,1.2,1,1,0.6,0,1,7.5,0,0,-5.6
John Konchar,MEM,28,26,5,21,20.4,3.9,1.4,3.6,39.4,0.8,2.1,36.4,0.3,0.3,77.8,1,3,3.9,1.7,0.8,1,0.9,1.1,16.1,0,0,-3.3
Jaden Springer,BOS,21,25,17,8,12.4,3.9,1.5,3.8,38.5,0.2,1.1,14.3,0.8,0.9,82.6,0.9,1.1,2,1.2,0.7,1,0.4,1.5,11.4,0,0,0
Wesley Matthews,ATL,37,15,5,10,12,3.9,1.2,3.1,38.3,0.9,2.3,37.1,0.6,0.8,75,0.5,1.5,2,0.7,0.5,0.7,0.3,1.5,9.7,0,0,-0.1
Lindy Waters III,OKC,26,17,16,1,6.8,3.8,1.3,2.6,50,1.2,2.4,51.2,0,0,0,0.1,0.8,0.9,0.6,0.3,0,0.2,0.7,6.3,0,0,-1.6
Anthony Black,ORL,20,36,26,10,15.3,3.8,1.4,3.3,42.7,0.4,1.3,32.6,0.6,0.9,63.6,0.5,1.3,1.8,1.6,0.7,0.6,0.4,1.5,10.3,0,0,0.4
Patrick Baldwin Jr.,WAS,21,22,3,19,10.7,3.8,1.3,3.6,36.7,0.7,2.4,28.8,0.5,0.7,62.5,0.4,2.1,2.5,0.7,0.5,0.3,0.4,1.5,9.3,1,0,0
Dominick Barlow,SAS,20,16,4,12,12.2,3.8,1.5,2.8,53.3,0.1,0.1,50,0.7,1.1,61.1,1.1,2,3.1,1.3,0.3,0.4,0.6,1.4,12.2,0,0,0.4
